Date,Hour,Station,Max Capacity,Crowd Level (%),Day of the Week,Holiday/Festival
2024-07-01,7,Eksar,1800,13.77777778,Monday,No
2024-07-01,8,Eksar,1800,28.61111111,Monday,No
2024-07-01,9,Eksar,1800,42.55555556,Monday,No
2024-07-01,10,Eksar,1800,33.05555556,Monday,No
2024-07-01,11,Eksar,1800,20.16666667,Monday,No
2024-07-01,12,Eksar,1800,19.44444444,Monday,No
2024-07-01,13,Eksar,1800,16.77777778,Monday,No
2024-07-01,14,Eksar,1800,16.83333333,Monday,No
2024-07-01,15,Eksar,1800,13.55555556,Monday,No
2024-07-01,16,Eksar,1800,17.27777778,Monday,No
2024-07-01,17,Eksar,1800,19.83333333,Monday,No
2024-07-01,18,Eksar,1800,38.83333333,Monday,No
2024-07-01,19,Eksar,1800,45.38888889,Monday,No
2024-07-01,20,Eksar,1800,32.27777778,Monday,No
2024-07-01,21,Eksar,1800,20.33333333,Monday,No
2024-07-01,22,Eksar,1800,8.888888889,Monday,No
2024-07-01,23,Eksar,1800,2.388888889,Monday,No
2024-07-01,5,Borivali (West),1800,0.444444444,Monday,No
2024-07-01,6,Borivali (West),1800,10.22222222,Monday,No
2024-07-01,7,Borivali (West),1800,31.33333333,Monday,No
2024-07-01,8,Borivali (West),1800,54.83333333,Monday,No
2024-07-01,9,Borivali (West),1800,80.05555556,Monday,No
2024-07-01,10,Borivali (West),1800,60.44444444,Monday,No
2024-07-01,11,Borivali (West),1800,37.72222222,Monday,No
2024-07-01,12,Borivali (West),1800,45.33333333,Monday,No
2024-07-01,13,Borivali (West),1800,34.38888889,Monday,No
2024-07-01,14,Borivali (West),1800,39.05555556,Monday,No
2024-07-01,15,Borivali (West),1800,33.11111111,Monday,No
2024-07-01,16,Borivali (West),1800,34.11111111,Monday,No
2024-07-01,17,Borivali (West),1800,48.22222222,Monday,No
2024-07-01,18,Borivali (West),1800,68.77777778,Monday,No
2024-07-01,19,Borivali (West),1800,84.88888889,Monday,No
2024-07-01,20,Borivali (West),1800,67.05555556,Monday,No
2024-07-01,21,Borivali (West),1800,41.22222222,Monday,No
2024-07-01,22,Borivali (West),1800,19.88888889,Monday,No
2024-07-01,23,Borivali (West),1800,4,Monday,No
2024-07-01,5,Shimpoli,1800,0.277777778,Monday,No
2024-07-01,6,Shimpoli,1800,5.111111111,Monday,No
2024-07-01,7,Shimpoli,1800,21.66666667,Monday,No
2024-07-01,8,Shimpoli,1800,51.77777778,Monday,No
2024-07-01,9,Shimpoli,1800,73.33333333,Monday,No
2024-07-01,10,Shimpoli,1800,52.94444444,Monday,No
2024-07-01,11,Shimpoli,1800,32.88888889,Monday,No
2024-07-01,12,Shimpoli,1800,25.72222222,Monday,No
2024-07-01,13,Shimpoli,1800,27.61111111,Monday,No
2024-07-01,14,Shimpoli,1800,21.5,Monday,No
2024-07-01,15,Shimpoli,1800,27.61111111,Monday,No
2024-07-01,16,Shimpoli,1800,26.16666667,Monday,No
2024-07-01,17,Shimpoli,1800,37.83333333,Monday,No
2024-07-01,18,Shimpoli,1800,61.16666667,Monday,No
2024-07-01,19,Shimpoli,1800,85.11111111,Monday,No
2024-07-01,20,Shimpoli,1800,65.83333333,Monday,No
2024-07-01,21,Shimpoli,1800,36.72222222,Monday,No
2024-07-01,22,Shimpoli,1800,19.33333333,Monday,No
2024-07-01,23,Shimpoli,1800,3.333333333,Monday,No
2024-07-01,5,Kandivali (West),1800,0.333333333,Monday,No
2024-07-01,6,Kandivali (West),1800,8.888888889,Monday,No
2024-07-01,7,Kandivali (West),1800,29.88888889,Monday,No
2024-07-01,8,Kandivali (West),1800,80.16666667,Monday,No
2024-07-01,9,Kandivali (West),1800,108.9444444,Monday,No
2024-07-01,10,Kandivali (West),1800,80.38888889,Monday,No
2024-07-01,11,Kandivali (West),1800,53.38888889,Monday,No
2024-07-01,12,Kandivali (West),1800,46.33333333,Monday,No
2024-07-01,13,Kandivali (West),1800,40.38888889,Monday,No
2024-07-01,14,Kandivali (West),1800,40.38888889,Monday,No
2024-07-01,15,Kandivali (West),1800,40.33333333,Monday,No
2024-07-01,16,Kandivali (West),1800,39.72222222,Monday,No
2024-07-01,17,Kandivali (West),1800,58.61111111,Monday,No
2024-07-01,18,Kandivali (West),1800,98.55555556,Monday,No
2024-07-01,19,Kandivali (West),1800,132.7777778,Monday,No
2024-07-01,20,Kandivali (West),1800,103.5555556,Monday,No
2024-07-01,21,Kandivali (West),1800,58.61111111,Monday,No
2024-07-01,22,Kandivali (West),1800,33.16666667,Monday,No
2024-07-01,23,Kandivali (West),1800,6.111111111,Monday,No
2024-07-01,5,Dahanukarwadi,1800,1.666666667,Monday,No
2024-07-01,6,Dahanukarwadi,1800,15,Monday,No
2024-07-01,7,Dahanukarwadi,1800,29.66666667,Monday,No
2024-07-01,8,Dahanukarwadi,1800,92.22222222,Monday,No
2024-07-01,9,Dahanukarwadi,1800,150.5,Monday,No
2024-07-01,10,Dahanukarwadi,1800,96.5,Monday,No
2024-07-01,11,Dahanukarwadi,1800,57.33333333,Monday,No
2024-07-01,12,Dahanukarwadi,1800,55,Monday,No
2024-07-01,13,Dahanukarwadi,1800,45.16666667,Monday,No
2024-07-01,14,Dahanukarwadi,1800,39.66666667,Monday,No
2024-07-01,15,Dahanukarwadi,1800,41.44444444,Monday,No
2024-07-01,16,Dahanukarwadi,1800,46.44444444,Monday,No
2024-07-01,17,Dahanukarwadi,1800,62.77777778,Monday,No
2024-07-01,18,Dahanukarwadi,1800,120.8333333,Monday,No
2024-07-01,19,Dahanukarwadi,1800,140.1666667,Monday,No
2024-07-01,20,Dahanukarwadi,1800,112.2222222,Monday,No
2024-07-01,21,Dahanukarwadi,1800,67.44444444,Monday,No
2024-07-01,22,Dahanukarwadi,1800,34.22222222,Monday,No
2024-07-01,23,Dahanukarwadi,1800,7.388888889,Monday,No
2024-07-01,5,Valnai-Meeth Chowky,1800,0.888888889,Monday,No
2024-07-01,6,Valnai-Meeth Chowky,1800,11.38888889,Monday,No
2024-07-01,7,Valnai-Meeth Chowky,1800,26.16666667,Monday,No
2024-07-01,8,Valnai-Meeth Chowky,1800,57.22222222,Monday,No
2024-07-01,9,Valnai-Meeth Chowky,1800,94.88888889,Monday,No
2024-07-01,10,Valnai-Meeth Chowky,1800,64,Monday,No
2024-07-01,11,Valnai-Meeth Chowky,1800,43.27777778,Monday,No
2024-07-01,12,Valnai-Meeth Chowky,1800,39.44444444,Monday,No
2024-07-01,13,Valnai-Meeth Chowky,1800,36.66666667,Monday,No
2024-07-01,14,Valnai-Meeth Chowky,1800,30.94444444,Monday,No
2024-07-01,15,Valnai-Meeth Chowky,1800,30.83333333,Monday,No
2024-07-01,16,Valnai-Meeth Chowky,1800,37.94444444,Monday,No
2024-07-01,17,Valnai-Meeth Chowky,1800,45.77777778,Monday,No
2024-07-01,18,Valnai-Meeth Chowky,1800,77.5,Monday,No
2024-07-01,19,Valnai-Meeth Chowky,1800,95,Monday,No
2024-07-01,20,Valnai-Meeth Chowky,1800,74.94444444,Monday,No
2024-07-01,21,Valnai-Meeth Chowky,1800,56.22222222,Monday,No
2024-07-01,22,Valnai-Meeth Chowky,1800,25.72222222,Monday,No
2024-07-01,23,Valnai-Meeth Chowky,1800,4.111111111,Monday,No
2024-07-01,5,Malad (West),1800,0.277777778,Monday,No
2024-07-01,6,Malad (West),1800,6.666666667,Monday,No
2024-07-01,7,Malad (West),1800,15.61111111,Monday,No
2024-07-01,8,Malad (West),1800,61.05555556,Monday,No
2024-07-01,9,Malad (West),1800,127.5555556,Monday,No
2024-07-01,10,Malad (West),1800,104.9444444,Monday,No
2024-07-01,11,Malad (West),1800,60.5,Monday,No
2024-07-01,12,Malad (West),1800,53.5,Monday,No
2024-07-01,13,Malad (West),1800,47.38888889,Monday,No
